;ensembl_gene_id_version;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;AD3_26.1;AD3_26.2;AD3_26.3;840_26.1;840_26.2;840_26.3;AD2_26.1;AD2_26.2;AD2_26.3;external_gene_name;gene_biotype
1;ENSG00000000460.17;93.89538711;-0.735324469;0.165196956;20.11000257;4.30E-05;0.000250164;123.8759647;120.3082849;104.1042186;62.92581748;67.75077878;64.19008543;94.84768094;106.7805228;100.2751303;C1orf112;protein_coding
2;ENSG00000001167.14;717.9342901;-0.33021437;0.116554721;13.17297078;0.001378878;0.005372245;874.9349633;775.8656742;608.0129362;546.5556718;616.1086445;622.3174384;823.5783781;821.3886372;772.6462672;NFYA;protein_coding
3;ENSG00000001460.18;111.9834372;0.267864655;0.162269261;35.55204251;1.91E-08;2.07E-07;58.52407781;83.47921811;84.16936822;93.48978597;107.9778037;102.2689497;160.5836974;163.2509917;154.1070424;STPG1;protein_coding
4;ENSG00000001497.16;1026.798914;-0.319385521;0.093087898;13.51530563;0.001161953;0.004620559;1089.523249;1123.69575;1310.162666;905.2328314;998.2653811;882.3416828;1006.700138;941.5167254;983.7518047;LAS1L;protein_coding
5;ENSG00000002330.13;256.4871177;0.421100295;0.127077189;11.99198634;0.002488704;0.00899062;199.9572659;252.0745017;218.1758623;349.6877571;283.7063861;285.047498;236.6496594;238.2027048;244.8824235;BAD;protein_coding
6;ENSG00000002933.9;226.1825927;1.118984316;0.130757989;176.3769311;5.01E-39;4.50E-37;183.3754438;177.5979444;181.6286367;430.5923796;386.3911602;373.1728695;78.8832198;104.7270512;119.2746287;TMEM176A;protein_coding
7;ENSG00000003096.14;1221.493793;-1.287590141;0.103221993;450.0480497;1.88E-98;7.17E-96;1184.137174;1042.671803;971.2702095;448.5711846;392.7427957;456.9463709;2329.872242;2182.840303;1984.392052;KLHL13;protein_coding
8;ENSG00000003137.8;36.44762865;0.245032893;0.216666746;15.72707359;0.000384512;0.001745236;35.11444669;39.28433793;54.26709267;42.25019173;41.28563082;55.48634503;18.781719;23.61492332;17.94397069;CYP26B1;protein_coding
9;ENSG00000003147.19;195.8236594;0.948364114;0.139499305;50.15465739;1.29E-11;2.10E-10;125.8267673;128.492522;159.4788029;255.2990309;331.3436525;265.4640821;161.5227834;174.5450854;160.4402085;ICA1;protein_coding
10;ENSG00000003249.13;735.9216707;0.483291017;0.114718477;17.85582491;0.000132635;0.000679227;556.9541405;572.8965948;711.0096631;800.9557625;994.0309574;839.9109483;751.26876;646.8435518;749.4246581;DBNDD1;protein_coding
11;ENSG00000003402.20;1231.154422;0.386466335;0.090520494;29.44890228;4.03E-07;3.56E-06;952.9670671;1001.750617;1017.78486;1238.739664;1362.425817;1357.783502;1539.161872;1336.810007;1272.966391;CFLAR;protein_coding
