;ensembl_gene_id_version;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;AD3_26.1;AD3_26.2;AD3_26.3;840_26.1;840_26.2;840_26.3;AD2_26.1;AD2_26.2;AD2_26.3;external_gene_name;gene_biotype
1;ENSG00000000460.17;132.3241199;-0.737016749;0.170620918;18.68897941;8.74E-05;0.000535157;169.1938059;148.1994247;176.550493;104.5125678;86.96115592;92.26935021;119.466361;139.8294989;153.9344214;C1orf112;protein_coding
2;ENSG00000001167.14;657.1429861;-0.564092575;0.121599377;27.44018932;1.10E-06;1.06E-05;870.2635245;728.5528972;912.717457;547.9848151;518.66118;595.556715;582.2639757;592.1638512;566.1224589;NFYA;protein_coding
3;ENSG00000001617.12;215.2853847;0.761263762;0.160591091;23.3590009;8.47E-06;6.68E-05;153.5759161;165.1688245;166.8321173;300.3559382;328.1748384;231.1393823;208.7970634;173.6138074;209.9105746;SEMA3F;protein_coding
4;ENSG00000001630.17;19.42309446;-1.905287534;0.324821381;37.80679415;6.17E-09;9.15E-08;38.17706389;30.5449196;53.45106669;0;3.105755569;8.388122746;17.22037636;15.01524821;8.905297106;CYP51A1;protein_coding
5;ENSG00000002549.12;376.6691215;-0.78681684;0.217420387;14.05877663;0.000885473;0.004013133;476.345638;535.1017397;541.7994488;216.557573;195.6626008;395.1737827;372.3906388;424.1807619;232.8099101;LAP3;protein_coding
6;ENSG00000002834.18;2365.528088;-0.451012237;0.125663938;12.82007918;0.001644959;0.006872724;2756.557545;2638.176019;2867.730715;1818.142058;1801.33823;2330.96611;2303.225338;2603.268658;2170.348123;LASP1;protein_coding
7;ENSG00000002933.9;197.1938887;0.802843593;0.16730393;58.68567439;1.81E-13;5.35E-12;175.2674297;199.1076241;145.7756364;294.7066102;294.0115272;327.1367871;86.1018818;126.6911567;125.9463448;TMEM176A;protein_coding
8;ENSG00000003056.8;804.8746503;-0.917216342;0.19637398;22.1818789;1.52E-05;0.00011357;1146.179577;1052.102786;1167.014956;413.342498;429.6295203;781.027429;736.1710894;910.2994226;608.1045738;M6PR;protein_coding
9;ENSG00000003096.14;667.0381406;-0.855207002;0.178826954;75.9915811;3.15E-17;1.44E-15;638.5981596;527.1826865;611.4478084;331.4272421;321.9633273;320.6126916;1485.257461;945.022184;821.8317043;KLHL13;protein_coding
10;ENSG00000003137.8;45.0338785;1.031610431;0.233429918;20.66151366;3.26E-05;0.000224026;22.55917412;32.80750624;32.39458587;79.09059187;69.36187437;58.71685922;39.82212033;41.29193257;29.26026192;CYP26B1;protein_coding
11;ENSG00000003147.19;143.5763239;1.479100322;0.193785012;71.75653241;2.62E-16;1.08E-14;68.54518289;91.6347588;87.46538186;262.6937516;304.3640457;201.3149459;73.18659953;91.02994226;111.9523065;ICA1;protein_coding
12;ENSG00000003249.13;438.1768059;1.157535503;0.168940075;46.51522356;7.93E-11;1.61E-09;268.9747683;266.9852232;252.6777698;686.3933509;733.9935661;491.1711875;510.1536497;352.8583329;380.383405;DBNDD1;protein_coding
13;ENSG00000003402.20;1051.939374;0.748317892;0.139750255;36.92422752;9.59E-09;1.38E-07;728.834856;658.4127114;711.8710246;1359.604937;1340.651154;990.7304977;1359.333459;1097.990025;1220.025704;CFLAR;protein_coding
